antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'根茎类蔬菜'}),frozenset({'全脂牛奶'}),0.10899847483477376,0.25551601423487547,0.048906964921199794,0.44869402985074625,1.7560309524799398,0.021056109073738026,1.3504007322169433
frozenset({'根茎类蔬菜'}),frozenset({'其他蔬菜'}),0.10899847483477376,0.1934926283680732,0.047381799694966954,0.43470149253731344,2.2466049285887952,0.026291398311075295,1.4266929082333752
frozenset({'酸奶'}),frozenset({'全脂牛奶'}),0.13950177935943062,0.25551601423487547,0.05602440264361973,0.40160349854227406,1.5717351405345266,0.020379464003024997,1.244131581570951
frozenset({'其他蔬菜'}),frozenset({'全脂牛奶'}),0.1934926283680732,0.25551601423487547,0.07483477376715811,0.38675775091960063,1.5136340948246207,0.025394308582718045,1.2140128748166512
frozenset({'面包卷'}),frozenset({'全脂牛奶'}),0.18393492628368074,0.25551601423487547,0.05663446873411286,0.30790491984521834,1.2050317893663836,0.009636149491521126,1.0756961104226122
frozenset({'全脂牛奶'}),frozenset({'其他蔬菜'}),0.25551601423487547,0.1934926283680732,0.07483477376715811,0.2928770393951452,1.5136340948246205,0.025394308582718045,1.140547566072612
frozenset({'其他蔬菜'}),frozenset({'根茎类蔬菜'}),0.1934926283680732,0.10899847483477376,0.047381799694966954,0.24487651077246453,2.2466049285887957,0.026291398311075295,1.1799414769585426
frozenset({'全脂牛奶'}),frozenset({'面包卷'}),0.25551601423487547,0.18393492628368074,0.05663446873411286,0.22164743334659767,1.2050317893663836,0.009636149491521126,1.0484517025813447
frozenset({'全脂牛奶'}),frozenset({'酸奶'}),0.25551601423487547,0.13950177935943062,0.05602440264361973,0.21925984878631116,1.5717351405345263,0.020379464003024997,1.1021569971813203
frozenset({'全脂牛奶'}),frozenset({'根茎类蔬菜'}),0.25551601423487547,0.10899847483477376,0.048906964921199794,0.19140469558296855,1.75603095247994,0.021056109073738026,1.1019128113879004
